iter	Passed	Remaining
434	341682	51055
435	342313	50247
436	342980	49445
437	343661	48646
438	344283	47839
439	344957	47039
440	345640	46242
441	346251	45435
442	346870	44631
443	347548	43835
444	348161	43031
445	348821	42233
446	349476	41436
447	350089	40635
448	350694	39833
449	351324	39036
450	351995	38243
451	352669	37451
452	353293	36655
453	353899	35857
454	354571	35067
455	355248	34278
456	355922	33489
457	356567	32698
458	357243	31910
459	357920	31123
460	358564	30334
461	359209	29545
462	359939	28764
463	360628	27979
464	361337	27197
465	362052	26415
466	362182	25593
467	362923	24815
468	363740	24042
469	364437	23261
470	365157	22483
471	365914	21706
472	366572	20924
473	367275	20145
474	367969	19366
475	368665	18588
476	369422	17812
477	370159	17036
478	370896	16260
479	371638	15484
480	372346	14708
481	373014	13930
482	373754	13154
483	374437	12378
484	375114	11601
485	375763	10824
486	376442	10048
487	377175	9274
488	377818	8498
489	378428	7723
490	379091	6948
491	379751	6174
492	380400	5401
493	381063	4628
494	381756	3856
495	382361	3083
496	382992	2311
497	383191	1538
498	383821	769
499	384507	0
