iter	Logloss
0	0.6233798291
50	0.009239066694
100	0.002403746462
150	0.001612354713
200	0.001333504973
250	0.001150685167
300	0.001012072258
350	0.0008773970745
400	0.0007654580646
450	0.0006765506414
499	0.000600332441
